,feature,weight
1266,pop.w,0.03108686132822348
908,lsls,0.030390800081724262
990,mls.ne,0.0299825173438777
1449,smlawb,0.029801141786502502
1682,strbmi,0.02941161319817524
937,lsrs,0.02913615486892577
278,bics,0.0288063675311857
137,andle,0.028758883445716178
1230,orrgt,0.028283981339100015
2400,vmla.le.f32,0.02786312872496249
356,cdpge,0.027452357019529413
1067,movw,0.02712571434502591
1380,sbcs,0.026793588962169334
1347,rsbpl,0.026726863914180336
1040,movt,0.02668858186414165
2104,vadd.hi.f32,0.026448999348989966
1353,rsc,0.026285557227681312
1675,strbeq,0.026245548628421083
1627,str.pl,0.026071872019474238
1822,sub.pl.w,0.025890945994548834
231,bge,0.025487422282734637
1011,mov.lt,0.025187434415893842
444,cpycs,0.025185986157212886
1138,muls,0.024927847655623375
712,ldrbpl,0.024553353682752917
1846,subpls,0.02451930671619071
446,cpyge,0.0244727874354887
1683,strbne,0.02416651511437474
1847,subs,0.02407655671091364
1678,strbhi,0.024057509657804094
892,lsl.hi,0.023782523551435043
2856,vsubl.u8,0.02365295524717206
985,mls,0.023591255827112353
451,cpylt,0.023337403839075607
835,ldrsbeq,0.023171150035538646
2649,vpop,0.0228801850399684
2373,vldrne.64,0.0225237034809444
2515,vmovmi.f32,0.020900657133187915
2229,vcvt.le.s32.f32,0.020836751171658285
619,ldmiaeq,0.020744485518071433
969,mla.mi,0.0206509983823079
1168,mvngt,0.02039330229943852
379,clzeq,0.02019704665036032
432,cmpgt,0.02018080952542851
529,ittt,0.019719945405004085
2300,vdup.32,0.019705199191285574
617,ldmiacc,0.01956693471717231
1662,strb.lt,0.019528661935405145
1701,strcs,0.019501410308219256
1940,tst,0.019182963648768245
1943,tsteq,0.019173388813720764
627,ldmiane,0.018995424179042653
1165,mvneq,0.018879337039251827
299,blt,0.01883244867158514
1348,rsbs,0.018624389703173098
938,lsrs.eq.w,0.018591771080519244
1030,movhi,0.01851738224193434
753,ldreq,0.018054269974608954
1033,movlt,0.018030798073230037
1782,strne,0.017861555814170448
1933,teqeq,0.017365486109475175
262,biceq,0.017329035186007428
1973,udiv,0.017053218449397157
2332,vldr.32,0.016933062458766458
461,eor,0.016925489926228186
960,mla.cc,0.01680594850249681
1231,orrhi,0.01660350475945606
805,ldrhi,0.0165957919598493
276,bicnes,0.0165236189302506
448,cpyhi,0.016509268864238338
936,lsr.w,0.016419851541714017
995,mov.cc,0.016165361799505007
1828,subeq,0.016163607788077666
445,cpyeq,0.015725737889635574
310,bmi,0.015668184525825714
1112,mrs,0.015299321756361183
1288,rev.eq,0.015049388680561531
1233,orrle,0.014831101347308152
1243,orrs,0.014705771480884202
2563,vmul.pl.f64,0.014382921059964934
1725,strdne,0.01414928922010606
1225,orrcc,0.013957501260103016
1824,subcc,0.013841471857221408
1336,rsbge,0.013824797237546873
1064,movtpl,0.01381463702568066
1240,orrnes,0.013804925070587651
53,addge,0.013704249276983858
339,bxle,0.013475212985411036
817,ldrne,0.013397309806728727
198,b.ne,0.01333529630820626
621,ldmiagt,0.013235078847525113
1344,rsbmi,0.013209045244745551
1823,sub.w,0.013099151191649594
758,ldrge,0.012983260051781267
2667,vqmovun.i32,0.012659458314984433
982,mlane,0.012572205016059108
1229,orrge,0.012449483180308269
2016,uxtb.cs,0.012314884703142374
1775,strhne,0.012195720308655726
1770,strhi,0.012011587505465061
182,b.cc,0.011864191146855229
237,bic,0.011835999114237692
1586,stmiane,0.011731280050949224
2297,vdivne.f32,0.011671837604095835
1227,orreq,0.011619690994094774
1371,sbc,0.011507256279273296
1174,mvnne,0.011266184158474022
2846,vsubeq.f64,0.011254954499494112
61,addlt,0.011091883955026584
1932,teq.w,0.01100178336950106
1731,strexd,0.010968227024331163
1166,mvneqs,0.010884532518028647
1334,rsbeq,0.010714697045687137
1113,msr,0.010597132741766739
525,itt,0.010545162907940005
681,ldrb.eq.w,0.010276390126443742
2200,vcvt.eq.s32.f64,0.010170452382121813
1172,mvnlt,0.01013606083762324
2627,vorr,0.010134676506583224
1840,sublt,0.00983128071916478
1246,orrs.w,0.009793200134571396
709,ldrblt,0.009759678755018117
1236,orrlt,0.009659138043977875
2731,vshl.s32,0.009489977476382283
1843,subne,0.00932695026590047
341,bxlt,0.009280675224365048
196,b.lt,0.008942614219399167
1338,rsbgts,0.008941499136534472
189,b.gt,0.008882003136385114
2651,vpush,0.00884685166761639
402,cmnne,0.008801282656630957
1239,orrne,0.008761759194190208
1037,movpl,0.008732338283730497
2013,uxtb,0.008659142374019685
2546,vmul.f64,0.008020813663341245
187,b.ge,0.007972497241075493
422,cmp.ne,0.007954310168563739
2171,vcmpe.f64,0.007840134268268505
1228,orreqs,0.00783338646306504
184,b.cs,0.007655534794895553
1972,udf,0.007609617879260863
1834,subhi,0.007562971476946843
192,b.le,0.0075585959974343525
2538,vmsr,0.007532410114202902
1976,umlal,0.007449993186504939
185,b.eq,0.007445959152345159
489,eoreq,0.0074104388014378025
997,mov.cs,0.007367411653312696
1578,stmiaeq,0.007255326593285716
291,blle,0.007206694755338963
631,ldmib,0.0071928509810203585
557,ldcmi,0.007112978920083522
1674,strbcs,0.007011264022512337
618,ldmiacs,0.006925039709278225
1401,sdiv,0.006920934017381043
133,andgt,0.006837624244848201
1392,sbfx,0.0068068274025742306
1027,moveqs,0.006755792299393655
1980,umull,0.006474972488926545
1238,orrmi,0.0064532134880619894
1202,orr.cs.w,0.00642725710131223
289,blgt,0.006360774614323894
340,bxls,0.006283870279140265
1302,rors,0.006174485107491791
727,ldrcc,0.006125855068892235
1450,smlawt,0.00607103064452319
622,ldmiahi,0.006027403669740549
624,ldmials,0.005967789810146998
1326,rsb.ne,0.005915138014530294
211,beq.w,0.005891496607597432
330,bx.ne,0.0058325310905363486
1681,strblt,0.005763432343762534
28,add.ge.w,0.0057610677711731366
1081,movwcs,0.005749105203346471
1841,submi,0.005675532639621371
298,bls.w,0.00566789077659865
194,b.ls,0.005577588139434781
702,ldrbcs,0.00557526249243598
1078,movw.ne,0.0055617738302840706
67,addpl,0.005520291388865603
1235,orrls,0.0055197130194134855
1034,movmi,0.005477434620717078
2827,vsub.gt.f32,0.00536956056653097
1339,rsbhi,0.005368794117307911
1686,strbtcc,0.005289871620366445
35,add.ls,0.005262845323923839
1585,stmiami,0.005260426346652221
1022,mov.w,0.0051515677278661945
1367,rscs,0.005116439176372273
518,ite,0.005104652980768387
700,ldrb.w,0.005068241966865628
314,bpl,0.005053468262988823
623,ldmiale,0.00505221558671489
345,bxpl,0.005002632319683579
2371,vldrmi.64,0.004972723863806874
1343,rsblt,0.004889020883094259
1905,sxth.gt.w,0.0048332126033904
1749,strh.le,0.004829727389557162
697,ldrb.ne.w,0.004779053690453945
1173,mvnmi,0.0047659590909598145
1672,strb.w,0.004709936438592716
2026,uxtb.le,0.0046854294234128435
809,ldrhmi,0.004663607335141365
620,ldmiage,0.004636027392643523
1897,sxtble,0.0045079639107196805
2411,vmlal.s32,0.004451397425033294
754,ldrex,0.004371792219788423
745,ldrdgt,0.004333455627153909
1438,smlalbteq,0.0043222224385498845
2560,vmul.ne.f32,0.004306889439903697
337,bxgt,0.004269616904294091
2786,vstr.32,0.004204130204056254
1536,stmda,0.004200942669499306
1128,muleq,0.004196600308100672
1164,mvncs,0.004172074377339551
1827,subcss,0.004141996221580649
1200,orr.cc.w,0.0041080408664609675
25,add.eq,0.004048281199189444
200,b.pl,0.004030260866946293
1137,mulpl,0.0040010666088293135
751,ldrdne,0.0039730947555470415
504,eorne,0.003958713068420575
2128,vaddl.u32,0.003932462523507822
2048,uxth,0.003904910886727797
696,ldrb.ne,0.0038424252842761343
1673,strbcc,0.003751912937792849
385,clzne,0.0037331710313121135
1440,smlalne,0.003679713928004727
63,addmi,0.0036337807137839595
1163,mvncc,0.0036329307589699285
1829,subeqs,0.003629802281568019
427,cmp.w,0.003578242288365929
